runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,nERR-IA@5,nERR-IA@10,nERR-IA@20,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,strec@5,strec@10,strec@20
indri,186,0.314675,0.356041,0.367647,0.332800,0.373292,0.385347,0.309999,0.391160,0.426507,0.329308,0.407890,0.444370,0.324391,0.344954,0.014839,0.200000,0.166667,0.183333,0.333333,0.666667,0.666667
indri,187,0.568079,0.570898,0.570947,0.568079,0.570898,0.570947,0.619420,0.624501,0.624627,0.619420,0.624501,0.624627,0.522461,0.522461,0.084137,0.500000,0.500000,0.450000,1.000000,1.000000,1.000000
indri,188,0.441755,0.443381,0.443328,0.441755,0.443381,0.443329,0.443442,0.449261,0.449107,0.443442,0.449261,0.449108,0.427826,0.427826,0.013796,0.300000,0.200000,0.100000,0.500000,0.500000,0.500000
indri,189,0.000000,0.000000,0.015028,0.000000,0.000000,0.021438,0.000000,0.000000,0.052970,0.000000,0.000000,0.072779,0.000008,0.000011,0.029926,0.000000,0.000000,0.016667,0.000000,0.000000,0.333333
indri,190,0.423601,0.433719,0.433667,0.633484,0.640296,0.640071,0.411596,0.433175,0.433026,0.570000,0.586039,0.585494,0.423340,0.660823,0.063084,0.200000,0.150000,0.075000,0.500000,0.500000,0.500000
indri,191,0.549168,0.573698,0.581890,0.570530,0.591794,0.599852,0.630392,0.680096,0.703766,0.656039,0.697201,0.720022,0.516704,0.539567,0.199548,0.500000,0.375000,0.325000,1.000000,1.000000,1.000000
indri,192,0.242057,0.276549,0.283860,0.242057,0.276601,0.283884,0.219518,0.310499,0.332113,0.219518,0.310627,0.332143,0.250794,0.250798,0.010227,0.066667,0.100000,0.083333,0.333333,0.666667,0.666667
indri,193,0.334846,0.345305,0.366888,0.334846,0.345572,0.367078,0.407990,0.431943,0.502179,0.407990,0.432486,0.502426,0.317259,0.317329,0.046754,0.333333,0.266667,0.266667,0.666667,0.666667,1.000000
indri,194,0.564801,0.588526,0.591869,0.762943,0.771666,0.774855,0.548795,0.599569,0.609726,0.706276,0.727108,0.736404,0.566034,0.792460,0.153635,0.266667,0.300000,0.316667,0.666667,0.666667,0.666667
indri,195,0.242057,0.260518,0.291545,0.306905,0.325732,0.362705,0.219518,0.255163,0.362173,0.266067,0.300464,0.420296,0.253929,0.329199,0.017068,0.066667,0.066667,0.066667,0.333333,0.333333,1.000000
indri,196,0.426626,0.434989,0.435860,0.494303,0.505380,0.506417,0.432029,0.449774,0.452321,0.520970,0.545259,0.548421,0.405883,0.463867,0.073480,0.300000,0.300000,0.312500,0.500000,0.500000,0.500000
indri,197,0.771558,0.770817,0.770726,0.771558,0.770817,0.770726,0.786943,0.785462,0.785192,0.786943,0.785462,0.785193,0.773926,0.773926,0.034514,0.466667,0.266667,0.133333,1.000000,1.000000,1.000000
indri,198,0.181543,0.201132,0.202566,0.217588,0.237357,0.238605,0.164639,0.208195,0.212287,0.191207,0.234291,0.237656,0.189390,0.230610,0.016668,0.050000,0.100000,0.075000,0.250000,0.250000,0.250000
indri,199,0.508321,0.514689,0.554982,0.508321,0.514689,0.554982,0.481497,0.499195,0.615546,0.481497,0.499195,0.615546,0.508504,0.508504,0.011164,0.200000,0.166667,0.200000,0.666667,0.666667,1.000000
indri,200,0.547655,0.562703,0.564989,0.661792,0.668362,0.669007,0.577064,0.610253,0.617673,0.677874,0.692016,0.694066,0.523357,0.640631,0.149311,0.400000,0.375000,0.337500,0.750000,0.750000,0.750000
indri,amean,0.345196,0.362184,0.370093,0.404123,0.418955,0.427750,0.357686,0.394073,0.419604,0.410230,0.441044,0.467875,0.338481,0.401729,0.062309,0.235236,0.204015,0.174247,0.519613,0.595875,0.666162
